Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
gene expression (GO:0010467),NKX2-8/RPL22/RPL21/RPL24/NUP214/RPL23/UPF3B/NUP210/NUP93/HNRNPK/POLR3A/DDX39A/HNRNPL/DDX39B/NUP98/SARNP/ZC3H11A/RPL26/HNRNPF/RPL28/HNRNPD/RPL27/RPL29/NUP205/RPL11/RPL10/RPL13/SCX/RPL12/HNRNPU/RPS4Y2/ASCL2/RPS4Y1/NXF1/NXF2/NXF3/CLP1/NUP85/PABPN1/RPL15/RPL14/RPL17/NUP88/RPL19/NKX2-6/NXF5/RPL18/NFE2/RPL41/BAZ1A/TFIP11/BAZ1B/RPL3L/MRPL10/SETX/NOX4/MMS19/FARSB/RPL5/RPL6/POM121/RPL31/RPL3/RPL4/RPL30/HOXD3/DQX1/RPL32/RPL35/RPL34/BAZ2A/MRPL18/BAZ2B/RPL9/MRPL13/GATA2/RPL7/DEDD2/MRPL11/RPL8/AAAS/GLE1/ALKBH5/POM121C/NUP62/RPL37/RPL36/RPL39/RPL38/UPF2/UPF1/TESC/NDC1/MRPL28/MRPL27/MRPL24/WDR33/MRPL23/MAGOHB/PAX2/MRPL32/PAX8/AGO2/SLBP/YTHDC2/RBM8A/MRPL37/MRPL35/MRPL36/MRPL34/MRPL42/MRPL43/MRPL41/RPS15A/ATXN1/RPS27A/MEF2A/GATB/PRSS37/MRPL44/XAB2/MRPL51/MRPL52/ZNF219/SMG5/RPLP0/SMG1/RPLP2/RPLP1/SMG6/MRPL55/SMG7/M1AP/ASH2L/SRSF10/SRSF11/RPS8/RPS9/RPS6/RPS7/SARS/ILF2/RPSA/COPS5/SRSF3/SRSF4/SRSF5/SNRPG/SRSF6/SRSF7/CHTOP/RPL13AP3/SRSF9/NHP2/ZBTB25/SRSF1/SRSF2/CASC3/TSPAN33/HARS/RPS5/LZTS1/RPS2/RPS3/RBPMS/LSM7/MED20/EIF4G1/RSL24D1/CALCOCO1/ASMT/TPR/EIF4EBP2/EIF5A/COA1/DHPS/RPL13A/PPP5C/RPL37A/BCL3/GTF3C2/GTF3C3/GTF3C4/NUFIP1/SEH1L/GTF3C5/GTF3C6/CELF2/TARS/BICD1/SNU13/GTF3C1/DUSP11/RPL36A/EIF4E/LINC00473/RNGTT/ARNT/RPL35A/RPL23A/SORL1/CDC40/TSPAN15/SNRNP40/TSPAN14/NOVA1/DRG1/STUB1/EEF1A1P5/CEBPA/EIF4A3/NXT1/SMARCD3/RPL10L/U2AF2/RPL10A/U2AF1/POLR2A/HHEX/POLR2B/FIP1L1/POLR2C/DHX57/POLR2D/POLR2E/POLR2F/POLR2G/POLR2H/IGF2BP3/POLR2I/POLR2J/POLR2K/RPL7A/POLR2L/SMARCA1/MRPS18C/MRPS18B/MRPS18A/SRRM1/DHX40/XRN2/RRAGC/LMF1/LMF2/MAGOH/DHX30/DHX32/DHX33/DHX34/DHX35/DHX36/E2F1/DHX37/DHX38/TOPORS/RPL39L/RPS27/RPS26/RPS29/RPS28/RPL27A/RNPS1/RPS21/DHX29/RPS20/RPS23/RPS25/RPS24/PWP1/ISCA2/MPHOSPH10/MRPL1/GSPT2/GSPT1/RPS16/MRPL4/RPS15/SYNCRIP/MRPL3/PELO/RPS18/RPS17/MRPL9/RPS19/DHX15/TSPAN5/DHX16/EPC1/RPS10/AGFG1/RPS11/RPS14/RPS13/APOBEC1/WARS/HARS2/NCOA1/MRPS2/MLF1/MRPS7/MRPS6/MRPS5/PTMA/MRPS9/FUBP3/PABPC4/MRRF/SLU7/MRPS16/MRPS17/DHX8/DHX9/MRPS14/MRPS15/MRPS12/HBS1L/MRPS11/IGHMBP2/RANBP2/MRPS24/MRPS21/THOC2/THOC1/THOC3/THOC6/THOC5/THOC7/RSL1D1/HNRNPUL1/HNRNPA2B1/HNRNPH1/SNRPGP15/HNRNPH3/NUPL2/FYTTD1/MRPS36/AKR1B1/MRPS33/NUP188/RPL18A/CPSF2/CPSF1/CPSF4/CPSF3/ALYREF/EEF1A2/EEF1A1/DKC1/ATF6B/NOL9/RRBP1/YARS2/NUP160/RPL39P5/TAF1B/DROSHA/IGFLR1/RAE1/ABCF1/BPTF/DDX54/TDRD9/NUP153/NUP155/ESR1/NR4A2/PRPF4/TCF3/CREBZF/HELB/RBMX2/DARS/NCBP2/NCBP1/TNIP1/RPS3A/NUP133/NFKBIB/DDX19A/DDX19B/NUP50/NUP54/RBMS1/RBMS2/NUP58/BUD13/DTX1/ELAVL4/NUP43/SYMPK/RBM39/DDX17/SWT1/THAP1/GOLPH3/RPS6KB2/NUP35/NUP37/NUP107/DDX25/THRB/POLDIP3/LDB1/DDX20/HSPD1/NR3C1/RBM4/RBM5/RPS4X/RBM3/RBM6,NUP214/NUP210/HNRNPK/NUP98/NUP88/NUP62/RPL36/UPF1/MPHOSPH10/MRPS2/MRPS5/PABPC4/SLU7/RAE1/NUP54/NUP58,NA,16,16/374,0.0383284595265522,1
cilium assembly (GO:0060271),DYNC2H1/CFAP74/WDPCP/DNAAF3/DNAAF1/RFX3/BBIP1/RFX4/IFT81/PPP2R1A/IFT80/RFX2/TMEM80/IFT88/CCP110/CEP83/ALPK3/CEP89/ATP6V0D1/SSNA1/IFT172/AKAP9/AVIL/FNBP1L/PTPDC1/TMEM67/CSNK1D/IFT74/E2F4/CEP97/RILP/DNAH14/PLK4/PLK1/RAB3IP/CSNK1E/TUBG1/EHD1/BBS10/VANGL2/EHD3/WDR60/UNC119/CEP63/DZIP1/WDR5B/SSX2IP/C5ORF30/CFAP54/MKS1/CCNO/UNC119B/PLA2G3/TTBK2/PKHD1/NUDCD3/MCIDAS/CEP70/PRKAR2B/DZIP1L/CDK5RAP2/CEP72/KIFAP3/CEP76/CEP192/CEP78/PRKACA/CCDC113/BBS2/BBS1/TUBB/OFD1/IFT122/WDR35/MSS51/WDR34/ICK/TTLL3/CENPJ/NME8/PAFAH1B1/CEP41/SFI1/SDCCAG8/C2CD3/CETN2/FBF1/INTU/RILPL1/LRRC6/ACTR1A/KIF17/HSPB11/STK36/CNTRL/BBS9/DISC1/BBS7/CC2D2A/BBS5/DYNC1I2/CEP57/BBS4/C5ORF42/RSPH4A/DYNLL1/NDE1/MBD1/WDR19/IFT140/DYNLL2/RSG1/RAB11A/TUBB4B/TUBB4A/ATAT1/NEDD1/TTC8/RILPL2/HYLS1/TRIP11/BBOF1/MAPRE2/DYNC1H1/MAPRE1/RP1L1/TRAF3IP1/ALMS1/TUBA1A/SNX10/SPAG16/TBC1D32/TCTN3/TCTN2/TCTN1/RAB8A/NINL/GSN/SEPT10/SEPT11/SEPT12/OCRL/RPGRIP1L/TMEM250/SEPT14/DCDC2/TUBA4A/TMEM138/FAM161A/UBXN10/TTC30A/TTC30B/B9D2/B9D1/FAM92A/CEP126/CEP19/GALNT11/RAB23/ABLIM1/ABLIM3/ASAP1/NPHP1/TEKT1/TCTEX1D2/TEKT2/CEP250/NPHP3/FLNA/TEKT3/NPHP4/CLASP1/TEKT4/TEKT5/FOPNL/PCNT/CCDC13/ODF2/C21ORF59/RABL2B/TTC21B/KIF24/CKAP5/TMEM231/KIF27/IFT20/TMEM17/IFT22/TMEM237/DYNLRB1/DYNLRB2/SPERT/IFT27/NOTCH1/ATP6V1D/ARL6/ARL3/CDC14A/CDC14B/CDC14C/KIF3C/KIF3B/KIF3A/TMEM107/NEK1/NEK2/PIBF1/MARK4/CCDC39/ABCC4/ACTR3/MKKS/ACTR2/HSP90AA1/IQCB1/SEPT1/SEPT2/FUZ/SEPT5/PARVA/SEPT6/SEPT3/SEPT4/AHI1/IFT43/CFAP221/TMEM216/FGFR1OP/CEP162/TRIM59/CDK1/ZMYND10/IFT46/CCDC40/TTC26/YWHAG/DNAH5/LRGUK/YWHAE/MAFIP/CEP164/DNAH6/CBY3/CFAP206/CBY1/PTPN23/SPATA6/TNPO1/DYNC2LI1/CEP290/SNAP29/DNAI2/CFAP46/CEP135/CEP131/HAUS5/SCLT1/HAUS4/HAUS7/FOXJ1/HAUS6/HAUS1/HAUS3/HAUS2/KIAA0586/RSPH9/CCDC65/RAB17/RSPH1/CLUAP1/HDAC6/CFAP20/DCTN3/DCTN2/WDR5/DCTN1/RPGR/CCDC28B/SEPT9/SEPT7/SEPT8/HAUS8/ARL13B/IFT52/TOGARAM1/POC1B/CEP152/IFT57,AKAP9/PRKAR2B/CDK5RAP2/PRKACA/CNTRL/RAB8A/NINL/CEP250/PCNT/TRIM59/CDK1/CEP135,NA,12,12/374,0.0365813441598726,1
activation of protein kinase A activity (GO:0034199),ADCY1/ADCY5/ADCY4/ADCY3/ADCY2/ADCY9/ADCY8/ADCY7/ADCY6/PRKACG/PRKAR1B/PRKAR1A/PRKAR2B/PRKAR2A/PRKACB/PRKACA,PRKAR2B/PRKAR2A/PRKACA,NA,3,3/374,0.000620762983787704,1
cellular response to molecule of bacterial origin (GO:0071219),RHOA/UPF1/VDR/IL10/DEFA5/WNT5A/DEFA6/DEFA3/LILRB1/DEFA4/SHPK/LILRB2/PDCD1LG2/DEFA1/ACOD1/TNIP1/TICAM2/SIRT2/TICAM1/TNFRSF1B/MAPK14/TLR2/CXCL10/FCGR2B/IL6/TNIP2/AXL/TNIP3/SELENOS/TNFSF4/PDCD4/ADAM9/PLAA/TLR4/CXCL8/CD86/RELA/NR1I2/SERPINE1/NR1I3/CD80/TNFAIP3/NUGGC/HMGB2/CDC73/CXCL6/SBNO2/PYCARD/ZFP36/NLRP7/PABPN1/LBP/STAP1/NLRP3/PDE4B/ANKRD1/CASP1/CTSG/CCR5/XBP1/MEF2C/FZD5/NR1H3/NR1H2/NFKBIL1/NR1D1/TIRAP/NR1H4/IRGM/NFKB1/DAB2IP/TRAF6/CARD16/CACTIN/CARD17/PAF1/CD274/GFI1/GSTP1/CTR9/MAPK8/ZC3H12A/CCL2/CD14,RHOA/UPF1/SELENOS/ADAM9/TRAF6,NA,5,5/374,0.0213676720110438,1
snoRNA 3'-end processing (GO:0031126),EXOSC6/EXOSC5/DKC1/EXOSC4/EXOSC3/FBLL1/EXOSC2/FBL,EXOSC5/EXOSC3/EXOSC2,NA,3,3/374,2.81327385424701e-05,0.143561364782225
inner mitochondrial membrane organization (GO:0007007),AGK/TIMM29/UQCC3/IMMT/TIMM22/ATP5F1/MT-ATP8/AFG3L2/LETM1/ATP5S/TIMM9/NDUFA13/ATP5L/ATP5A1/TIMM13/ATP5C1/ATP5J/ATP5I/ATP5G3/TIMM10/TAZ/ATP5G2/ATP5O/ATP5G1/MAIP1/ATP5J2/APOO/ATP5D/CHCHD6/MT-ATP6/CHCHD3/ATP5B/SAMM50/ATP5H/OPA1/ATP5E,TIMM29/TIMM9/TIMM10,NA,3,3/374,0.0133990862950362,1
positive regulation of lipid biosynthetic process (GO:0046889),SREBF1/GPLD1/ELOVL5/NR1H3/NR1H2/MID1IP1/SORBS1/APOA5/APOA4/MTOR/SIRT4/FABP3/CTDNEP1/CREB1/CNEP1R1/MLXIPL/APOA1/APOC2/PLIN5/LPGAT1/SLC45A3/CREBL2/HSD17B13/INS/AKT1/APOE/SCARB1/LDLR,AKT1/SCARB1,NA,2,2/374,0.0346570747300981,1
regulation of nitric oxide biosynthetic process (GO:0045428),SMAD3/INSR/EDN1/PTGIS/HSP90AA1/CAV1/ATP2B4/KLF4/KLF2/ASS1/IL1B/NOS1AP/P2RX4/DDAH2/DDAH1/IFNG/AGTR2/GLA/AGXT2/TLR6/TLR4/HSP90AB1/HBB/CLU/TNF/PKD2/PTGS2/KHSRP/ZC3H12A/AKT1/CD36/CD34,GLA/AKT1,NA,2,2/374,0.0486904778262524,1
DNA replication (GO:0006260),EGF/DUT/HUS1/CDC25A/DONSON/REV1/WDHD1/CDC25C/NUP98/POLE2/POLE3/CDK2AP1/DNA2/RHNO1/MRE11/PNKP/NEXMIF/TBRG1/CHEK1/NT5M/RBBP8/PCLAF/TIPIN/TOP3A/IGF1/BAZ1A/NASP/FAM111A/GRWD1/RAD17/POLG2/RNASEH2A/RAD9A/RAD9B/SET/BLM/BRIP1/HELB/CLSPN/KAT5/MCMBP/TREX1/KAT7/BARD1/UPF1/RFC4/RFC5/NCOA6/RFC2/RMI1/RFC3/RMI2/RFC1/NAP1L1/CDC7/SIRT1/CDC6/TICRR/POLA1/POLA2/ARTN/RBMS1/CDK2/MCM4/MCM5/ATM/CDK1/MCM6/MCM7/TOP1/MCM2/ATR/MCM3/ACHE/PIF1/MCM10/IGHMBP2/TNFAIP1/BRCA1/SPHAR/ORC6/ORC5/ORC2/ORC1/ORC4/TOP1MT/ORC3/TOPBP1/RBM14/ATRIP/POLN/RPA2/RPA3/RPA1/RAD50/KIN/DBF4/ERCC4/KCTD13/TIMELESS/FEN1/MCM8/PTMS/RPAIN/ING5/RECQL5/POLD4/POLB/RECQL4/POLE/CDC45/ING4/WRN/EXO1/POLD1/POLD2/POLK/POLL/POLG/REV3L,NUP98/UPF1/POLA1/POLA2/CDK2/CDK1/MCM7/MCM2,NA,8,8/374,0.00389420631802768,1
mitochondrial calcium ion transmembrane transport (GO:0006851),MCUR1/PHB2/STOML2/MCUB/PHB/SPG7/SLC8B1/MAIP1/SLC8A3/PARL/AFG3L2/LETM1/SMDT1/YME1L1/PMPCB/PMPCA/MICU3/MICU2/SLC25A23/MICU1/MCU,STOML2/PMPCB/PMPCA,NA,3,3/374,0.00184345476677652,1
aspartate family amino acid biosynthetic process (GO:0009067),GOT1L1/ASNSD1/MTRR/PLOD1/GOT1/MTHFD1/ASNS/PLOD3/PLOD2/MTR/THNSL2,PLOD2,NA,1,1/374,0.0313121388414287,1
chaperone-mediated protein transport (GO:0072321),CLIP3/TIMM8B/TIMM9/TOR1A/PEX19/TIMM8A/HSPA8/TIMM13/CLU/TIMM10,TIMM8B/TIMM9/TOR1A/TIMM10,NA,4,4/374,2.52307277423653e-06,0.012875240366929
response to catecholamine (GO:0071869),NR4A3/GNG2/GNB1/DRD1/DRD5/ADCY6,GNB1,NA,1,1/374,0.00929900216569043,1
maintenance of protein location in extracellular region (GO:0071694),C3CER1/NBL1/LTBP1/DAND5/FBN1/FBN2,FBN1/FBN2,NA,2,2/374,0.000321699005697722,1
mammary gland epithelial cell differentiation (GO:0060644),LATS1/FOXB1/ERBB4/ID2/AKT1/ZNF703/AKT2/IRF6,AKT1,NA,1,1/374,0.0167747462928842,1
positive regulation of collagen biosynthetic process (GO:0032967),TGFB1/TGFB3/F2R/HDAC2/SERPINF2/SCX/SUCO/F2/LARP6/CREB3L1/BMP4/RGCC/VIM/AMELX/WNT4,HDAC2/VIM,NA,2,2/374,0.00615644152085002,1
positive regulation of oxidative stress-induced cell death (GO:1903209),SFPQ/MMP3/RIPK1/TLR6/TLR4/SOD1,RIPK1,NA,1,1/374,0.00929900216569043,1
U4 snRNA 3'-end processing (GO:0034475),EXOSC8/EXOSC7/EXOSC6/EXOSC5/EXOSC9/EXOSC4/EXOSC3/EXOSC2,EXOSC8/EXOSC5/EXOSC3/EXOSC2,NA,4,4/374,5.85211097538984e-07,0.00298633223074143
mitochondrial RNA processing (GO:0000963),PNPT1/TRMT10C/FASTKD5/ELAC2/KIAA0391/HSD17B10,FASTKD5,NA,1,1/374,0.00929900216569043,1
regulation of monooxygenase activity (GO:0032768),VDR/LYPLA1/HSP90AA1/NOS3/ZDHHC21/CAV1/NOSIP/WASL/EGFR/DNM2/CYGB/IL1B/POR/NOS1AP/DDAH2/SPR/GDNF/DDAH1/LEP/AKT1/NOSTRIN/SNCA/CALM1,POR/AKT1,NA,2,2/374,0.0205844719498634,1
protein kinase A signaling (GO:0010737),MYOM1/GAL/MROH2B/RDX/LCP1/RAB13/GCG/TTN/EZR/TCP11,RDX,NA,1,1/374,0.026057258962688,1
carbohydrate derivative catabolic process (GO:1901136),DERA/MGEA5/NEU4/FUCA1/MANBA/NGLY1/FBXO2/STT3B/NAGA/ADAMTS9/SAMHD1,NGLY1,NA,1,1/374,0.0313121388414287,1
insulin receptor signaling pathway (GO:0008286),PTPN2/ATP6V1E1/CAV2/GAB1/BAIAP2/RHOQ/APC/FER/PIK3CA/PHIP/BCAR1/SOS1/FOXC2/GSK3A/ATP6V0D1/C2CD5/SHC1/IDE/PIK3R3/PIK3R2/FOXO4/FOXO1/BAIAP2L1/BAIAP2L2/AKT1/AKT2/ZNF106/ATP6V1E2/SH2B2/ATP6V1G1/INSR/GPLD1/ATP6V0C/ATP6V1G2/ATP6V0E1/ATP6V1G3/ATP6V0B/ATP6V0E2/ATP6AP1/SORBS1/IGF2/PIK3R1/GRB2/ATP6V0D2/ATP6V1B1/ATP6V1B2/ATP6V1A/ATP6V1D/IRS1/IRS2/TCIRG1/IRS4/INS/SOGA1/PIK3C2A/IGF1R/AP3S1/ATP6V0A4/PDK4/ATP6V1F/APPL1/ATP6V1C1/ATP6V1H/ATP6V0A1/ATP6V1C2/ATP6V0A2/PDK2,IDE/AKT1/ATP6AP1/ATP6V1A,NA,4,4/374,0.0291995591395309,1
regulation of homotypic cell-cell adhesion (GO:0034110),LYN/RDX/SYK/CCL5/TNFSF11/ZNF703/ANK3/PRKCQ/PRKCA,RDX,NA,1,1/374,0.0212031977277593,1
T cell homeostasis (GO:0043029),RIPK3/NCKAP1L/TNFSF14/AKT1/FADD/ZC3H8/PPP2R3C/PMAIP1/JAK3/FOXP3,AKT1,NA,1,1/374,0.026057258962688,1
establishment of protein localization to mitochondrion (GO:0072655),TOMM20L/TIMM23/TIMM22/GDAP1/TIMM21/TOMM40L/SPATA16/PINK1/DNLZ/OTC/TOMM5/TOMM7/NDUFB8/TIMM13/TIMM10/TOMM20/HK1/TOMM22/MAIP1/HK2/TIMM50/PITRM1/TIMM23B/MFN2/AKT1/FIS1/TIMM8B/PAM16/AIP/TOMM70/TIMM44/DNAJC15/DNAJC19/TOMM34/TIMM10B/MGARP/SLC25A6/TIMM9/TOMM40/COX18/HSPD1/MFF/CHCHD4/GRPEL2/GRPEL1/TIMM17B/FBXO7/TSPO/TIMM17A,TIMM10/PITRM1/AKT1/TIMM8B/TOMM70/DNAJC19/TIMM10B/TIMM9/GRPEL1,NA,9,9/374,3.88903503138407e-07,0.00198457457651529
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742),FBXW7/EGF/AFAP1L2/ARAP1/PTK6/PLAUR/MMP9/AGT/EREG/ADRA2A/EPGN/ADAM17/HIP1R/SHKBP1/HAP1/NCF1/UBA52/CNOT9/HIP1/TGFA/CBL/ART4/UBC/UBB/NUP62/GPER1/AKT1/AGR2/RPS27A,UBC/NUP62/AKT1,NA,3,3/374,0.00622025582974729,1
very-low-density lipoprotein particle assembly (GO:0034379),MT-TP/ACSL3/APOC1/SOAT2/DGAT1/APOC3/SOAT1/P4HB/APOC4/APOB,ACSL3,NA,1,1/374,0.026057258962688,1
MyD88-dependent toll-like receptor signaling pathway (GO:0002755),MAP3K1/TIRAP/IRAK4/TNIP1/TLR2/TLR1/MYD88/TRAF6/BTK/TAB3/TAB2/TLR10/TLR6/UBA52/TAB1/TLR5/TLR4/REG3G/LY96/HSPD1/UBC/IRAK2/IRAK3/UBB/IRAK1/CD14/MAP3K7/CD36/RPS27A,TRAF6/UBC,NA,2,2/374,0.037938246141677,1
regulation of autophagosome maturation (GO:1901096),UVRAG/FYCO1/CALCOCO2/RUBCN/PHF23/TBC1D25/CLEC16A/ADRB2/SMCR8/IRGM/UBQLN4,FYCO1,NA,1,1/374,0.0313121388414287,1
regulation of cellular response to growth factor stimulus (GO:0090287),TFAP2B/FBN3/DUSP6/CAV3/ITGA3/CASK/SULF1/PCSK6/SFRP4/DOK5/TMEM204/LRIT3/XIAP/SLIT2/OTX2/FBN1/FGFR2/FBN2,PCSK6/FBN1/FBN2,NA,3,3/374,0.00100193108654023,1
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423),CHUK/IRGM/ITCH/CYLD/OTULIN/TRAF6/UBE2V1/TAB3/TAB2/UBA52/TAB1/UBE2N/RELA/TNFAIP3/NOD1/NOD2/INAVA/IKBKB/CASP8/UBC/IRAK2/UBB/IRAK1/RIPK2/MAP3K7/IKBKG/RPS27A/MAP2K6,TRAF6/UBC,NA,2,2/374,0.0346570747300981,1
cellular iron ion homeostasis (GO:0006879),ATP13A2/SCARA5/CCDC115/CYBRD1/HFE2/CP/BMP6/TF/TFR2/ISCU/ACO1/ABCG2/IREB2/ATP6V0D1/ABCB7/TMPRSS6/SLC46A1/ABCB6/SLC40A1/NEDD8/SLC22A17/FTMT/MYC/FLVCR1/RPS27A/NDFIP1/ATP6V1G1/SMAD4/SLC11A1/ATP6AP1/SLC11A2/GDF2/SOD1/TMEM199/MT-RNR2/LCN2/HAMP/FXN/UBA52/FTL/FBXL5/ATP6V1A/ALAS2/TFRC/CUL1/NUBP1/ERFE/CAND1/UBC/HEPH/UBB/FTH1/HMOX1/HMOX2/SKP1/ATP6V0A2,ATP6AP1/ATP6V1A/UBC/HMOX1,NA,4,4/374,0.0144972929259746,1
negative regulation of ubiquitin-protein transferase activity (GO:0051444),RPL5/RPL11/LIMK1/USP44/DTX3L/RPL23/RPS7/PARK7/SMAD7/BAG5/ABL1/MAD2L1/MAD2L2,BAG5,NA,1,1/374,0.0429301060251057,1
proteolysis involved in cellular protein catabolic process (GO:0051603),CTSB/UBL4B/ATE1/CTSA/RHBDD1/UBL4A/MARCH6/RNF41/PSMB9/CHFR/UBE2W/CUL4B/PRPF19/USP17L6P/FAP/YME1L1/CHMP4C/CHMP4B/CPVL/PRKN/TINAGL1/VPS4A/ZFAND4/VPS4B/HM13/CTSZ/OTUD7B/OMA1/TNFAIP3/IDE/OTUD7A/NEDD8/CTSW/FBXO44/USP17L24/CTSV/ADAMTS12/PSMB11/CTSS/PSMB10/CASP8/ATXN3/CTSO/CTSL/CTSK/CTSH/CAPN2/TINAG/CTSF/ANKUB1/RPS27A/CTSC/LONP1/SOCS6/ZRANB1/NRDC/GZMA/NR1D1/ISG15/PDCD6IP/CLPX/PSMA6/PSMA7/DDB1/PSMA4/PSMA5/PSMA2/PSMA3/PSMA1/CLPP/LGMN/STUB1/UBA52/RNF123/MDM2/HDAC6/VCP/NGLY1/PSMA8/PSMB7/PSMB8/SCPEP1/PSMB5/PSMB6/BAG6/UBC/PSMB3/PSMB4/PSMB1/PSMB2/UBD/PMAIP1/ADAMTS7,CTSB/ATE1/RNF41/IDE/ISG15/NGLY1/UBC,NA,7,7/374,0.00275573335619607,1
cellular macromolecule catabolic process (GO:0044265),MGEA5/SND1/PNPT1/DIS3/FBXO2/UBE2G2/UBE2G1/TATDN1/XRN2/SIDT2/PABPC4/HNRNPD/PRKN/RNASEH2C/RNASEH2B/RNF5/NEU4/EXOSC7/TATDN2/TATDN3/DENND3/CHEK2/MAGEA2/RIPK1/STK31/DFFB/MANBA/SIAH2/RNASET2/RNASE6/RNASEH1/RNASE3/RNASE2/DAB2IP/SUPV3L1/ISG20/RAB12/STT3B/SKIV2L/RNASEH2A/SKIV2L2/DIS3L/NGLY1/HTRA2/PPP1R8/MAGEC2/ADAMTS9/DIS3L2,PABPC4/RIPK1/NGLY1,NA,3,3/374,0.0348403896391593,1
negative regulation of homotypic cell-cell adhesion (GO:0034111),CEACAM1/PRKCD/RDX/CD9/SERPINE2/ADAMTS18/ZNF703/ALOX12/C1QTNF1/PRKG1,RDX,NA,1,1/374,0.026057258962688,1
nuclear envelope organization (GO:0006998),SUN3/TOR1A/TMEM170A/SUN2/SUN1/DMPK/PLK1/SPAG4/TMEM43/NUP155/LEMD3/LEMD2/SUN5/NSFL1C/NUP93/CTDNEP1/REEP4/REEP3/CHMP2A/CHMP4B/CHMP7/ANKLE1/INTS13/VPS4A/UBXN2B/UBXN2A/AKAP8L/DCTN1/TOR1AIP2/SPAST,TOR1A/SUN2/CHMP2A/AKAP8L,NA,4,4/374,0.000932462284139376,1
ncRNA catabolic process (GO:0034661),TRIR/ZCCHC11/DIS3/DIS3L/DEDD2/EXOSC8/LIN28A/ERN2/EXOSC7/SLFN14/EXOSC10/EXOSC6/EXOSC5/LIN28B/XRN1/EXOSC9/POP1/EXOSC4/NUDT16/EXOSC3/DIS3L2/EXOSC2,EXOSC8/EXOSC5/EXOSC3/EXOSC2,NA,4,4/374,0.000204143032701343,1
establishment of protein localization to organelle (GO:0072594),PEX19/RANBP17/NUP214/TSC2/NUTF2/NUP133/SCRIB/NPAP1/NUP93/MMP12/NUP50/PINK1/NUP98/NUP58/POM121L12/RAN/NUP62CL/HIKESHI/HK1/HK2/RGPD4/LAMP1/NUP85/AKT1/CSE1L/NUP88/RAE1/TNPO3/RANBP3/PDIA3/RANBP2/STAT3/RANBP1/NUP153/POM121B/NUP155/RAB11A/TSPAN17/KPNB1/MCM3AP/SPRN/POM121L2/RYR2/POM121/NXT1/NUP107/NXT2/IPO13/PTTG1IP/PRICKLE1/NUP188/IPO7/IPO8/IPO11/RPAIN/TSPAN10/RANBP3L/IPO9/POM121C/NUP62/HEATR3/PPP1R10,NUP214/NUTF2/NUP98/NUP58/AKT1/NUP88/RAE1/NUP62/HEATR3,NA,9,9/374,3.77541751218494e-06,0.0192659555646798
cleavage furrow formation (GO:0036089),RHOA/SNX18/SPIRE2/SNX33/SPIRE1/SNX9/AURKB,RHOA,NA,1,1/374,0.0127977214204242,1
tRNA catabolic process (GO:0016078),EXOSC8/EXOSC7/EXOSC9/POP1/EXOSC3/EXOSC2,EXOSC8/EXOSC3/EXOSC2,NA,3,3/374,6.28196472893464e-06,0.0320568660117535
response to glucagon (GO:0033762),GCGR/GCG/GNG13/GNG12/CREB1/GNB1/PRKAR1B/GNB3/PRKAR1A/GNB2/GNB4/CRY1/ADCY1/ADCY5/ADCY4/ADCY3/ADCY2/ADCY9/ADCY8/ADCY7/ADCY6/GNG2/PRKACG/GNG11/GNG4/GNG10/GNG3/GNG5/GNG8/PRKAR2B/PRKAR2A/GNG7/PRKACB/PRKACA,GNB1/GNG5/PRKAR2B/PRKAR2A/PRKACA,NA,5,5/374,0.000206825139003601,1
positive regulation of ion transmembrane transporter activity (GO:0032414),TRPC6/ABCB1/TCAF1/STAC/COX17/ACTN2/AKAP9/ANK3/ATP1B3/GLRX/PDZK1/ATP1B2/ATP1B1/ANK2/CTSS/TMSB4X/WNK1/WNK2/WNK3/STK39/WNK4/DMD/CFTR,AKAP9/ATP1B1,NA,2,2/374,0.0205844719498634,1
response to increased oxygen levels (GO:0036296),ATP6V1G1/ATP6V1A/ATP6V0D1/ATP6AP1/CCDC115/ATP6V0A2/TMEM199,ATP6V1A/ATP6AP1,NA,2,2/374,0.000552204028856011,1
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102),PPP1R15B/PTPN1/WFS1/HSPA5/ATF6B/PPP1R15A/DNAJB9/BFAR/RACK1/NCK1,WFS1,NA,1,1/374,0.026057258962688,1
fatty acid derivative biosynthetic process (GO:1901570),HMGCS2/SCD5/ACLY/SCD/BDH2/FASN/BDH1/PPT2/PPT1/FAR1/FAR2/SLC25A1/HMGCLL1/ACSS3/ACAT1/HSD17B8/ACACA/HMGCL/AACS/AWAT2/HTD2/AWAT1/CBR4/FADS1,PPT1/FAR2,NA,2,2/374,0.0230852010194687,1
endothelial tube morphogenesis (GO:0061154),RHOA/BMP4/ACVRL1/STARD13/CTNNB1/CSNK2B/PRKD2/CCM2/RHOB/RBPJ,RHOA/CSNK2B,NA,2,2/374,0.00178695278804473,1
